id,label,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11
0,1,66,-13.5,0.454545455,5.181818182,0.272727273,1781,0.241437395,10.96911847,0.879281303,770,5
1,1,75,26.58666667,0.413333333,65.0,0.909090909,152,0.822368421,209.1513158,0.144736842,1632,3
2,0,4,-25.25,0.25,-25.25,0.25,6,0.166666667,701.3333333,0.833333333,163,3
3,0,36,-115.4722222,0.027777778,-142.6363636,0.0,1803,0.210205214,-7.278979479,0.513033833,643,8
4,0,124,319.0080645,0.427419355,-95.90909091,0.0,180,0.833333333,120.3055556,0.844444444,648,1
5,0,46,-39.67391304,0.456521739,-0.727272727,0.636363636,32,0.3125,7.71875,0.28125,1650,2
6,0,19,-22.52631579,0.052631579,-20.90909091,0.090909091,6,0.0,-22.5,0.0,568,1
7,0,76,-35.31578947,0.0,-54.90909091,0.0,145,0.006896552,-24.46206897,0.124137931,886,2
8,1,174,225.7126437,0.977011494,171.4545455,1.0,26,0.576923077,39.57692308,0.115384615,634,4
9,1,280,-24.775,0.053571429,-9.727272727,0.181818182,92,0.217391304,-0.489130435,0.108695652,1698,2
10,1,20,270.75,0.3,540.3636364,0.545454545,12,1.0,1033.666667,1.0,536,3
11,0,25,-22.72,0.0,-23.09090909,0.0,1637,0.252901649,-31.83567502,0.291386683,143,4
12,1,1,170.0,1.0,170.0,1.0,1,1.0,170.0,0.0,57,2
13,0,26,-27.61538462,0.0,-27.09090909,0.0,347,0.051873199,-117.9337176,0.979827089,90,1
14,0,4,26.5,0.25,26.5,0.25,2,0.0,-29.0,0.0,83,8
15,0,213,12.84976526,0.690140845,-2.363636364,0.454545455,230,0.673913043,12.19130435,0.073913043,1027,1
16,0,423,-23.45862884,0.014184397,-23.18181818,0.0,381,0.291338583,3.958005249,0.524934383,483,2
17,1,37,447.8108108,0.702702703,768.6363636,1.0,3233,0.822146613,355.4856171,0.068048252,198,6
18,0,31,12.51612903,0.322580645,-19.45454545,0.0,1353,0.164818921,-30.96821877,0.151515152,1315,2
19,0,221,8.081447964,0.090497738,-59.0,0.0,94,0.031914894,-37.73404255,0.553191489,2370,3
20,0,1135,-46.39471366,0.085462555,-23.72727273,0.090909091,1197,0.201336675,-35.37426901,0.223057644,1095,4
21,0,1851,-42.7271745,0.092382496,-35.09090909,0.090909091,748,0.010695187,-46.54812834,0.120320856,3538,4
22,1,177,587.5254237,0.88700565,517.0909091,1.0,487,0.657084189,395.7289528,0.014373717,2647,3
23,0,131,-2.297709924,0.083969466,-27.18181818,0.0,572,0.068181818,-5.365384615,0.003496503,1260,1
24,1,44,535.5454545,0.909090909,714.7272727,1.0,16,1.0,369.9375,0.5625,560,2
25,0,738,-19.76287263,0.032520325,-15.0,0.0,59,0.593220339,5.288135593,0.06779661,386,1
26,0,65,-4.907692308,0.261538462,-1.272727273,0.181818182,249,0.333333333,15.05220884,0.116465863,1267,13
27,0,37,276.4324324,0.351351351,-27.18181818,0.0,5,0.0,-20.2,0.2,507,5
28,0,543,-19.02762431,0.35174954,-45.90909091,0.0,13270,0.232931424,-1.208214017,0.290052751,3223,3
29,1,1,105.0,1.0,105.0,1.0,6,1.0,225.1666667,1.0,659,4
30,0,2,-21.0,0.0,-21.0,0.0,573,0.387434555,263.434555,0.289703316,21,4
31,0,1,-59.0,0.0,-59.0,0.0,10,0.7,166.4,0.7,841,1
32,1,508,29.37204724,0.476377953,794.7272727,1.0,1513,0.240581626,-14.52478519,0.230667548,653,1
33,0,47,-372.0851064,0.191489362,-502.0,0.0,349,0.303724928,-112.9140401,0.223495702,756,7
34,0,15,-28.2,0.0,-28.63636364,0.0,314,0.108280255,-18.86624204,0.044585987,26,4
35,0,33,-3.121212121,0.303030303,-6.909090909,0.181818182,65,0.230769231,-12.93846154,0.353846154,441,3
36,1,100,-8.53,0.41,-6.0,0.363636364,2570,0.206614786,-19.48910506,0.46692607,1070,1
37,0,14,-32.92857143,0.142857143,-27.09090909,0.181818182,25,0.44,840.68,0.44,615,1
38,0,305,389.4131148,0.33442623,-12.63636364,0.0,122,0.319672131,1098.262295,0.327868852,2222,2
39,0,43,-81.74418605,0.093023256,-84.45454545,0.0,17,0.0,-84.70588235,0.058823529,1268,1
40,0,18,31.0,0.777777778,7.0,0.636363636,2,0.0,-13.0,1.0,151,3
41,0,69,-68.10144928,0.028985507,-43.27272727,0.181818182,53,0.075471698,-37.58490566,0.037735849,1633,1
42,0,687,49.63173217,0.382823872,-28.0,0.0,7,0.714285714,413.5714286,0.0,2134,3
43,0,2282,-6.561787905,0.155565294,-59.0,0.0,6843,0.265526816,19.04471723,0.387403186,1988,3
44,0,1344,17.78943452,0.337797619,-48.0,0.090909091,493,0.117647059,-40.84381339,0.170385396,689,2
45,0,28,19.67857143,0.678571429,7.0,0.454545455,4,0.25,-48.75,0.25,1234,1
46,1,14,230.3571429,1.0,250.7272727,1.0,17,1.0,663.1176471,0.0,591,4
47,1,8,2179.625,0.875,2179.625,0.875,28,1.0,851.3571429,0.714285714,8,4
48,0,15962,-27.64716201,0.003383035,-28.27272727,0.0,3120,0.009615385,-26.57948718,0.025961538,2021,1
49,0,40,-22.4,0.025,-8.181818182,0.0,16,0.0,-44.875,0.0,1116,2
50,0,52,-17.19230769,0.096153846,-22.45454545,0.0,485,0.119587629,-5.348453608,0.498969072,808,2
51,0,6,6.666666667,0.5,6.666666667,0.5,1431,0.114605171,-59.85255066,0.08665269,2196,2
52,0,34,-128.7647059,0.088235294,-159.9090909,0.0,28,0.071428571,-1.535714286,0.892857143,1454,6
53,0,2882,76.74913255,0.280013879,-17.0,0.0,287,0.397212544,458.7421603,0.076655052,1254,2
54,1,32,401.84375,0.71875,342.1818182,1.0,107,0.392523364,79.22429907,0.280373832,492,1
55,1,7,169.1428571,1.0,169.1428571,1.0,40,0.375,30.175,0.675,149,1
56,0,922,-23.57483731,0.011930586,-27.45454545,0.0,1000,0.039,-14.81,0.002,1966,1
57,1,878,-10.25968109,0.199316629,97.36363636,0.363636364,64,0.421875,1.5,0.46875,1813,2
58,0,644,-12.04813665,0.107142857,-45.45454545,0.181818182,3089,0.046940758,-36.2877954,0.006474587,2769,15
59,0,22,60.90909091,0.954545455,44.27272727,1.0,17,0.823529412,6.529411765,0.0,4482,3
60,0,79,18.26582278,0.64556962,-45.0,0.0,490,0.304081633,2.851020408,0.051020408,1733,2
61,1,470,108.2361702,0.925531915,185.5454545,1.0,2985,0.512897822,62.1718593,0.142378559,3989,5
62,0,308,-24.72402597,0.045454545,-53.54545455,0.0,704,0.279829545,-14.80113636,0.215909091,3375,2
63,0,23,-53.34782609,0.0,-52.36363636,0.0,202,0.405940594,10.15841584,0.46039604,1740,2
64,0,3282,-18.95399147,0.129189519,-13.36363636,0.0,9555,0.250340136,5.768184197,0.316169545,2585,3
65,0,283,-28.795053,0.007067138,-29.0,0.0,199,0.879396985,75.42713568,0.015075377,577,3
66,0,7,-20.28571429,0.142857143,-20.28571429,0.142857143,191,0.387434555,-0.821989529,0.261780105,61,6
67,0,2176,-43.87821691,0.084099265,-48.81818182,0.0,737,0.042062415,-49.10447761,0.067842605,3885,5
68,1,3644,-26.48902305,0.200054885,-6.272727273,0.727272727,72,0.541666667,-13.27777778,0.166666667,4376,5
69,0,16,-455.75,0.0,-460.1818182,0.0,464,0.168103448,-265.9913793,0.226293103,934,37
70,0,417,30.56354916,0.386091127,-0.636363636,0.454545455,218,0.243119266,0.880733945,0.018348624,1800,2
71,0,276,56.43115942,0.358695652,-43.0,0.0,309,0.378640777,7.909385113,0.281553398,3088,3
72,1,2422,5.815028902,0.170520231,-24.45454545,0.090909091,1076,0.049256506,-27.11710037,0.097583643,2642,2
73,0,10,-86.2,0.0,-86.2,0.0,351,0.065527066,5.652421652,0.994301994,4626,3
74,0,56,-44.03571429,0.089285714,-51.0,0.0,13,0.0,-52.0,0.230769231,856,1
75,0,297,-6.585858586,0.033670034,-28.0,0.0,23,0.47826087,163.6521739,0.043478261,238,2
76,0,796,17.34547739,0.722361809,-3.090909091,0.363636364,974,0.590349076,12.27310062,0.237166324,2688,2
77,1,26,75.5,0.807692308,142.1818182,0.636363636,4,1.0,158.0,1.0,196,2
78,0,69,99.23188406,0.652173913,-2.0,0.0,168,0.375,39.60714286,0.166666667,2921,2
79,0,4,-18.5,0.25,-18.5,0.25,814,0.025798526,-22.85626536,0.471744472,15,5
80,1,142,-26.04929577,0.338028169,51.27272727,1.0,112,0.303571429,-26.25892857,0.107142857,3075,2
81,0,295,-32.6440678,0.0,-28.0,0.0,681,0.01174743,-25.05726872,0.189427313,482,4
82,0,951,31.94742376,0.264984227,-17.36363636,0.0,36,0.194444444,11.27777778,0.055555556,3037,5
83,0,113,-29.9380531,0.0,-21.0,0.0,139,0.0,-37.00719424,0.028776978,327,2
84,0,143,-87.44055944,0.0,-80.27272727,0.0,188,0.127659574,-44.57446809,0.505319149,373,4
85,0,526,116.2490494,0.190114068,2.727272727,0.636363636,59,0.440677966,618.1186441,0.711864407,2505,1
86,0,88,-6.613636364,0.25,-51.54545455,0.0,24,0.291666667,-8.083333333,0.041666667,1717,2
87,0,904,669.5099558,0.830752212,-18.0,0.0,344,0.869186047,152.4127907,0.973837209,713,3
88,0,61,-35.57377049,0.459016393,-29.81818182,0.636363636,15,0.4,0.133333333,1.0,1707,3
89,0,137,34.29927007,0.467153285,-74.90909091,0.0,2451,0.254589963,62.95471236,0.04120767,1985,2
90,0,65,-23.89230769,0.0,-28.63636364,0.0,260,0.169230769,-7.15,0.353846154,801,5
91,1,2240,10.35401786,0.400892857,25.0,0.636363636,713,0.40112202,1.992987377,0.053295933,972,4
92,0,2,-29.0,0.0,-29.0,0.0,1,0.0,-29.0,0.0,161,1
93,0,1608,-9.435945274,0.321517413,-172.9090909,0.090909091,5635,0.20621118,-22.9755102,0.201597161,2492,1
94,0,13,-6.692307692,0.461538462,-8.0,0.454545455,2,0.0,-26.5,1.0,424,2
95,1,1195,164.7087866,0.648535565,502.0,1.0,165,0.812121212,163.7393939,0.024242424,5046,4
96,0,1175,155.6578723,0.204255319,-28.0,0.0,1059,0.278564684,208.3333333,0.027384325,608,1
97,1,184,43.22282609,0.451086957,-10.90909091,0.727272727,32,0.78125,222.84375,0.0,432,1
98,0,100,10.32,0.72,25.27272727,0.454545455,642,0.014018692,-26.25856698,0.003115265,74,2
99,0,648,-18.77777778,0.211419753,-20.45454545,0.0,1,0.0,-27.0,1.0,696,2
100,0,12,-51.5,0.083333333,-50.81818182,0.090909091,4,0.0,-42.25,0.0,1226,2
101,0,170,-20.17058824,0.182352941,-25.72727273,0.181818182,261,0.218390805,28.56704981,0.114942529,705,2
102,0,46,68.0,0.173913043,-23.81818182,0.0,270,0.125925926,6.777777778,0.074074074,1574,2
103,0,4,-226.75,0.0,-226.75,0.0,67,0.164179104,-63.71641791,0.358208955,1488,2
104,1,366,22.81693989,0.81420765,10.45454545,1.0,246,0.390243902,-1.87804878,0.109756098,1629,3
105,1,300,386.6733333,0.483333333,58.0,1.0,209,0.789473684,913.1004785,0.291866029,613,2
106,0,259,-37.32432432,0.092664093,-45.90909091,0.090909091,224,0.138392857,-38.06696429,0.165178571,1028,5
107,1,25,432.2,0.44,20.27272727,0.454545455,1479,0.260987153,-32.49628127,0.321162948,1849,3
108,0,416,131.5769231,0.478365385,-57.0,0.0,318,0.229559748,-17.06603774,0.0,1541,2
109,0,195,-37.02051282,0.179487179,-6.363636364,0.090909091,22,0.363636364,-13.0,0.090909091,905,2
110,1,21,158.6190476,1.0,225.5454545,1.0,21,0.952380952,150.3333333,0.047619048,1997,1
111,0,315,-18.11746032,0.022222222,-24.09090909,0.0,1901,0.047869542,-23.39768543,0.177275118,2500,9
112,1,52,2276.0,1.0,1111.454545,1.0,398,0.924623116,1311.41206,0.022613065,524,2
113,0,410,-24.20731707,0.03902439,-26.54545455,0.0,60,0.183333333,-17.5,0.0,460,1
114,1,534,163.9007491,0.940074906,200.1818182,1.0,85,0.929411765,300.8235294,0.8,1317,5
115,0,19,-73.10526316,0.0,-68.81818182,0.0,16,0.125,-62.5,0.25,1674,2
116,0,573,-26.85689354,0.001745201,-22.09090909,0.0,326,0.006134969,-37.69018405,0.107361963,1757,3
117,1,74,2.0,1.0,2.0,1.0,74,1.0,2.0,0.0,358,2
118,1,20,241.9,0.9,260.7272727,0.909090909,618,0.585760518,128.8106796,0.338187702,133,3
119,1,1,1.0,1.0,1.0,1.0,2,1.0,8.5,0.0,439,1
120,0,1155,158.8017316,0.207792208,-27.63636364,0.0,169,0.118343195,103.0532544,0.065088757,539,1
121,0,48,-43.64583333,0.0625,-46.36363636,0.0,1,0.0,-43.0,0.0,381,1
122,0,151,-20.64238411,0.145695364,-41.81818182,0.0,62,0.467741935,102.5967742,0.322580645,1545,4
123,0,22,-70.90909091,0.045454545,-81.45454545,0.0,169,0.159763314,-53.1183432,0.934911243,2149,4
124,0,550,22.21090909,0.290909091,-72.27272727,0.0,106,0.132075472,-59.8490566,0.830188679,3146,2
125,1,916,96.65720524,0.80349345,283.7272727,1.0,412,0.599514563,40.71116505,0.881067961,651,2
126,1,6,563.5,1.0,563.5,1.0,13,1.0,503.4615385,0.538461538,816,1
127,0,317,-27.28391167,0.015772871,-29.0,0.0,68,0.0,-27.61764706,0.0,837,7
128,0,33,147.0909091,0.666666667,144.9090909,0.272727273,59,0.593220339,128.3220339,0.152542373,2494,2
129,0,4020,-7.924129353,0.213432836,-16.45454545,0.0,646,0.23374613,-9.577399381,0.003095975,1721,1
130,1,82,806.6463415,0.853658537,416.3636364,0.727272727,26,0.769230769,426.6153846,0.038461538,203,1
131,0,2125,145.2136471,0.789647059,-4.363636364,0.545454545,828,0.481884058,27.95289855,0.519323671,930,2
132,0,1096,29.7919708,0.112226277,-22.09090909,0.0,635,0.011023622,-26.25354331,0.107086614,649,4
133,1,57,57.52631579,0.789473684,5.636363636,0.818181818,556,0.446043165,24.64028777,0.419064748,310,1
134,0,1253,-11.20670391,0.21867518,-16.90909091,0.0,909,0.352035204,-6.848184818,0.282728273,2373,1
135,0,530,-10.69811321,0.213207547,-16.0,0.272727273,66,0.545454545,14.90909091,0.181818182,1338,1
136,0,226,3.610619469,0.46460177,-17.18181818,0.0,73,0.383561644,42.63013699,0.136986301,3676,2
137,0,87,-25.55172414,0.0,-25.72727273,0.0,53,0.132075472,-19.98113208,0.301886792,925,7
138,0,4,-17.5,0.5,-17.5,0.5,1218,0.747947455,1075.69376,0.012315271,2179,1
139,1,649,-59.15100154,0.275808937,435.9090909,1.0,565,0.504424779,41.00353982,0.100884956,1198,3
140,0,192,180.7864583,0.859375,-15.36363636,0.0,329,0.67781155,104.0243161,0.455927052,1843,6
141,0,68,2.558823529,0.411764706,-13.90909091,0.090909091,1579,0.286257125,-126.1329956,0.19379354,154,8
142,0,206,-26.17961165,0.009708738,-57.0,0.0,263,0.114068441,-11.76045627,0.003802281,1180,2
143,0,29,31.03448276,0.24137931,97.72727273,0.363636364,102,0.166666667,-30.64705882,0.0,3052,5
144,0,81,-27.25925926,0.061728395,-22.81818182,0.0,19,0.052631579,-23.57894737,0.0,1326,1
145,0,15909,-27.64705513,0.003394305,-26.81818182,0.0,820,0.007317073,-27.22317073,0.006097561,2016,1
146,0,75,-95.2,0.04,-11.0,0.181818182,20,0.0,-56.8,0.0,1498,2
147,1,2,-16.5,0.5,-16.5,0.5,5,0.6,-11.4,0.8,2384,3
148,0,1,-24.0,0.0,-24.0,0.0,10,0.5,117.7,0.4,814,7
149,0,18,-26.66666667,0.0,-26.45454545,0.0,1315,0.009125475,-23.52319392,0.011406844,154,9
150,0,11,-24.63636364,0.0,-24.63636364,0.0,136,0.125,-17.06617647,0.470588235,831,1
151,0,200,-4.45,0.345,-2.0,0.0,49,0.0,-2.0,1.0,1234,2
152,0,393,-2.44783715,0.089058524,-17.36363636,0.0,8703,0.223486154,-18.21969436,0.161553487,400,2
153,0,1206,-13.15257048,0.21973466,-13.81818182,0.090909091,1118,0.177101968,-17.36135957,0.093023256,4372,2
154,0,393,59.62849873,0.251908397,-9.0,0.0,247,0.0,-11.90283401,0.093117409,2595,2
155,1,21,-0.666666667,0.428571429,29.81818182,0.636363636,28,0.142857143,-28.28571429,0.321428571,1319,5
156,0,270,-7.67037037,0.025925926,-20.54545455,0.0,750,0.036,-30.48533333,0.126666667,634,6
157,1,48,475.8541667,0.916666667,345.0,1.0,52,0.884615385,457.8846154,0.057692308,9,3
158,0,75,-61.32,0.04,-65.90909091,0.0,7,0.0,-20.28571429,0.857142857,615,1
159,0,1854,-17.1618123,0.034519957,-8.0,0.0,130,0.0,-11.13076923,0.0,909,1
160,0,114,42.36842105,0.51754386,-82.54545455,0.0,107,0.448598131,4.102803738,0.018691589,955,2
161,0,72,-40.47222222,0.180555556,0.818181818,1.0,48,0.020833333,-12.16666667,0.666666667,370,6
162,0,1,-58.0,0.0,-58.0,0.0,61,0.0,-99.96721311,0.93442623,832,258
163,0,32,-33.09375,0.0,-38.18181818,0.0,782,0.118925831,-21.82992327,0.117647059,2250,9
164,1,9,66.11111111,0.888888889,66.11111111,0.888888889,278,0.305755396,16.5323741,0.003597122,447,6
165,0,4,0.0,1.0,0.0,1.0,3,0.333333333,-28.0,0.666666667,301,1
166,0,14,-56.42857143,0.0,-55.72727273,0.0,3,0.0,-56.66666667,0.0,917,3
167,0,1262,-17.38431062,0.23296355,-50.81818182,0.0,195,0.066666667,-37.4,0.030769231,554,3
