Id,comment,Focal_Obj,Focal_Obj_Attribute
3545,  ECN number is incorrect (2 places). Looks like it should be M5079,Document_Info,Incorrect
123412,"  Please add the ""R"" symbol to nCounter so it should read: nCounter(R) Vantage 3D(TM) ",Document_Text_Seg,Incomplete
3548,  please upload the correct version,Version,Incorrect
3549,  rejected by author,Unknown,Unknown
3547,  Rejected by author to update responsibilities section,Document_Section,Incorrect
3539," 	GODLEYC	15 Nov 2019 8:03 PM
 	Comments
 	Rejection Comments
Please change red text to black.",Document_Formatting,iIncorrect
3540," 	Rejection Comments
1. SOP54467 is referenced in the body of the document, but (a) is not listed in the references section and (b) has been obsoleted
2, Revision history- Add the status of the document in the Revision History table stating: A. The document is acceptable as written; OR B. Add any changes made to the Revision History table",Multi_Obj,Multi_Attribs
3540-a,"SOP54467 is referenced in the body of the document, but (a) is not listed in the references section",Reference,Missing
3540-b,"SOP54467 is referenced in the body of the document, but (b) has been obsoleted",Reference,Obsolete
3540-c,Revision history- Add the status of the document in the Revision History table stating: A. The document is acceptable as written,Document_Status,Missing
3540-d,Revision history- Add the status of the document in the Revision History table stating:  B. Add any changes made to the Revision History table,Document_Status,Incomplete
3541," 	state: risk is appropriately mitigated vs. minimal ... in the last sentence of the conclusion",Document_Info,Incorrect
126789," ""Customer/Laboratory manager"" signature needed on ADS form. ",Approval,Missing
163701, : Procedure needs to be updated per VS,Document_Info,Obsolete
41604, 0.5X TAE Buffer incorrect expiration date,Date,Incorrect
108279, Add Scan,Document_Info,Missing
104404,"- APHA color spec. is <= 30, according to cert. Please revise",Document_Info,Incorrect
3567, appearance limit,Unknown,Unknown
108885,- Attach the draft infocard for SOP30-045 revision F.,InfoCard,Missing
104407,"- Can we replace that ""0"" with <|> ?",Document_Text_Seg,Incorrect
2436, Can you attach a word file with the job codes that require training on this document?,Attachment,Missing
173109,Change FSC_KPD to SRK in the draft that was emailed,Document_Text_Seg,Incorrect
104408,"- Change PRI spec to <= 75. Likewise, replace all >|< with <=|>=",Document_Info,Incorrect
2437, Change request initiated on DE route rather than Global route,Routing,Incorrect
3554, Client had additional comments.,Out_of_Doc_Comment,Unknown
73396,"- COLOR WHITE AND MATTE FINISH ARE NOT 
  LISTED ON ART",Document_Info,Missing
3555, Comments given to author. ,Out_of_Doc_Comment,Unknown
95307, correct spelling:  handling,Document_Text_Seg,Incorrect
70634, corrections in page 1,Out_of_Doc_Comment,Unknown
104442,"- could not confirm the shelf life. shelf life log stated 2 years from DOS, according to the cert., but there is no shelf life statement on the cert.",Document_Info,Incomplete
47089, Date for  rev 2 is wrong.  see redline,Date,Incorrect
3556, Dev. Phase should be III,Document_Info,Incorrect
114859,"Deviation needs to be closed, refer trackwise deviation72958 AND add attachment",Deviation,Unknown
3558, Document edit,Unknown,Unknown
59893,Document version number is wrong in header,Version,Incorrect
95306, Form number to be changed,Document_Info,Incorrect
2438," Hi Matt, can you please change the route from INS_CR to INS_CR-OEM?",Routing,Incorrect
33435,- Hyperlinks are not allowed in MasterControl documents - section 8.1,Document_Formatting,Incorrect
104412,I believe Sue has the summary report of this product. Can we upload that to sharepoint AND go back to this after?,Unknown,Unknown
163705, incorrect CHT for the utensils and protocols. ,Document_Info,Incorrect
114860,Incorrect SOP reference,Reference,Incorrect
2440," Jenn,
I was referring to the Infocard title, not the document file name.",Out_of_Doc_Comment,Unknown
3559," Lab Site should be SLC, NC",Address,Incorrect
162854,Manager misspelled. Will correct AND reupload,Document_Text_Seg,Incorrect
